id,from,doi,pmid,pmcid
100,both,10.1038/s41598-018-28361-6,29968796,PMC6030136
101,search,10.3390/cells7120245,30563060,PMC6315543
102,both,10.1038/s41598-018-22345-2,29531238,PMC5847511
103,both,10.1038/s41598-020-57716-1,31959844,PMC6971239
104,both,10.3390/cancers14081906,35454813,PMC9029532
105,both,10.1038/s41597-019-0090-x,31160594,PMC6546783
106,both,10.1038/d41573-019-00180-y,32020066,PMC7771654
107,search,NA,32509169,PMC7270033
108,both,10.3389/fgene.2019.00466,31164903,PMC6536643
109,both,10.1021/acs.jproteome.8b00393,30256117,PMC6606054
110,both,10.1186/s12911-022-01927-1,35902925,PMC9335954
111,both,10.1186/s12859-019-3123-8,31760937,PMC6876101
112,search,NA,NA,NA
113,search,10.18632/oncotarget.26032,30237858,PMC6145694
114,both,10.1038/s41467-022-33026-0,36085310,PMC9463154
115,both,10.1186/s12918-018-0530-9,29671401,PMC5907153
116,search,NA,32477690,PMC7233094
117,both,10.1016/j.compbiomed.2021.104904,34600327,PMC8573608
118,both,10.1038/s41467-021-22328-4,33795682,PMC8016863
119,both,10.1016/j.compbiomed.2018.10.021,30384176,PMC6279243
120,both,10.3389/fgene.2020.562971,33173536,PMC7591752
121,both,10.3389/fnagi.2017.00408,29311898,PMC5732932
122,both,10.1186/s13326-017-0162-9,29197409,PMC5712086
123,both,10.1002/cam4.3098,32372565,PMC7333852
124,both,10.1186/s12859-019-3124-7,31760934,PMC6876080
125,both,10.1186/s12859-019-2729-1,31074377,PMC6509876
126,search,10.1155/2018/2959801,30018674,PMC6029483
127,both,10.1186/s12859-018-2247-6,30012108,PMC6048706
128,both,10.1038/s41598-018-31439-w,30190574,PMC6127254
129,both,10.1093/nar/gkab1063,34755882,PMC8728220
130,search,10.3390/cancers14010034,35008194,PMC8750504
131,both,10.1242/dmm.032839,29590633,PMC5897730
132,search,10.3390/diseases9040074,34698165,PMC8544451
133,both,10.18632/aging.101847,30844764,PMC6428103
134,search,10.1155/2021/9163279,34603477,PMC8483914
135,both,10.1093/ilar/ilw040,28838067,PMC5886338
136,search,10.3390/ijms23137201,35806206,PMC9266645
137,both,10.1093/nar/gkaa707,32833025,PMC7779040
138,search,10.1101/2021.11.05.466755,NA,NA
139,search,10.1038/s41540-022-00226-9,35487924,PMC9054771
140,both,10.1371/journal.pone.0271737,35877764,PMC9312389
141,both,10.12688/f1000research.18236.1,32308977,PMC7141167
142,both,10.3892/mmr.2020.11310,32705210,PMC7411362
143,both,10.1093/database/baaa085,33181824,PMC7661096
144,both,NA,29295235,PMC5881393
145,both,10.1093/genetics/iyac003,35134929,PMC8982018
146,both,10.1186/s12859-018-2339-3,30200874,PMC6131949
147,both,10.1093/bioinformatics/btaa439,32657408,PMC7355285
148,search,10.1093/gigascience/giac003,35169842,PMC8847733
149,both,10.1186/s13321-021-00569-1,34819133,PMC8611952
150,search,10.1007/s10723-021-09570-2,34276264,PMC8276028
151,search,10.1021/acs.jproteome.1c00177,33719446,PMC8518219
152,both,10.1186/s12859-016-1205-4,27578323,PMC5006367
153,both,10.1093/database/bay045,29860481,PMC6007211
154,both,10.1093/nar/gkx907,30053270,PMC5753215
155,search,10.3389/fmolb.2020.603121,33344506,PMC7747351
156,both,10.1109/EMBC.2018.8513041|10.1109/embc.2018.8513041,30441083,NA
157,both,10.1038/srep42169,28176830,PMC5296879
158,both,10.7150/ijbs.33806,31853227,PMC6909967
159,both,10.1186/s12859-017-1981-5,29322930,PMC5763302
160,search,10.1016/j.cancergen.2022.03.001,35366592,PMC9252326
161,both,10.1186/s13326-019-0217-1,31888755,PMC6937947
162,search,10.3389/fendo.2018.00425,30093884,PMC6070605
163,both,10.1038/s41467-020-14600-w,32041952,PMC7010776
164,both,10.1007/s00335-019-09821-4,31776723,PMC6892358
165,search,10.15252/msb.202110387,34664389,PMC8524328
166,search,10.1038/s41467-019-13888-7,31913281,PMC6949242
167,both,10.1038/s41597-020-0523-6,32533075,PMC7293349
168,search,10.1038/sdata.2019.21,30778255,PMC6380228
169,both,10.1016/j.taap.2019.114674,31323264,PMC6708494
170,search,10.21037/atm.2017.03.100,29610744,PMC5879535
171,search,10.1016/j.gene.2019.144005,31376410,PMC7939460
172,search,10.1093/bioinformatics/btab310,34252957,PMC8275341
173,both,10.1093/database/bav032,25841438,PMC4385274
174,search,10.1007/s00335-021-09904-1,34448927,PMC8913476
175,both,10.1155/2017/8327980,29214177,PMC5682045
176,search,NA,30662640,PMC6325506
177,search,10.3389/fgene.2019.00396,31114610,PMC6503737
178,both,10.3390/s20174923,32878204,PMC7506702
179,both,10.1055/s-0040-1702001,32823318,PMC7442512
180,both,10.1186/s12859-019-2924-0,31196129,PMC6567606
181,both,10.2196/12610,31411142,PMC6711036
182,both,10.1038/s41592-020-0916-7,32807955,PMC7968862
183,search,10.1038/tpj.2015.97,26810135,PMC5380835
184,both,10.1093/nar/gky1010,30364956,PMC6323994
185,search,10.1186/s12859-022-04932-3,36175836,PMC9520835
186,both,10.1007/s00335-015-9576-9,26093607,PMC4602048
187,both,10.1038/srep10888,26051359,PMC4458913
188,search,10.1016/j.oraloncology.2018.01.013,29496060,PMC5836801
189,search,10.1371/journal.pone.0165545,27812137,PMC5094732
190,both,10.3389/fimmu.2021.687291,34489936,PMC8417698
191,search,10.1038/srep10900,26154679,PMC4495600
192,both,NA,26306239,PMC4525265
193,both,10.1038/srep19820,26804977,PMC4726433
194,both,10.1093/nar/gku772,25232094,PMC4191387
195,search,10.1038/s41380-018-0223-1,30131587,PMC6438764
196,search,10.3390/biom12030451,35327643,PMC8946103
197,both,10.1155/2016/4369431,27610375,PMC5005524
198,search,10.1371/journal.pone.0271989,35913949,PMC9342740
199,search,10.1186/s13326-018-0178-9,29554977,PMC5859804
200,both,10.1093/nar/gkaa1031,33221926,PMC7778935
201,search,10.1186/s12885-017-3854-8,29282079,PMC5745885
202,both,10.1038/s41467-020-18752-7,33028830,PMC7541486
203,both,10.1016/j.jtbi.2016.05.026,27235586,PMC4947423
204,both,10.1093/database/bay145,30649296,PMC6333964
205,search,10.1186/s13326-021-00250-4,34454610,PMC8400831
206,both,10.3892/or.2018.6429,29749535,PMC6059757
207,search,10.18632/oncotarget.25272,29849945,PMC5966254
208,both,10.1093/genetics/iyac022,35380658,PMC8982023
209,both,10.1038/srep03202,24232732,PMC3828568
210,both,10.1186/s13326-016-0062-4,27099700,PMC4837519
211,search,10.1016/j.aquatox.2020.105478,32278258,PMC7393770
212,both,10.1093/bioinformatics/btz313,31510663,PMC6612872
213,both,10.1093/nar/gkaa990,33151297,PMC7779054
214,both,10.1093/nar/gky869,30252093,PMC6323926
215,both,10.1126/sciadv.aaz7628,33008901,PMC7852388
216,both,10.1371/journal.pone.0099415,24932637,PMC4059643
217,both,10.1186/s12859-018-2098-1,29671398,PMC5907145
218,both,10.1186/s13326-017-0167-4,29258588,PMC5735523
219,search,NA,30815206,PMC6371316
220,search,NA,NA,PMC6217683
221,both,10.18632/oncotarget.19588,28947982,PMC5601150
222,search,NA,NA,PMC6217675
223,both,10.3389/fimmu.2018.01877,30166985,PMC6105692
224,both,10.18632/oncotarget.21532,29262548,PMC5732714
225,both,10.1371/journal.pone.0075504,24146757,PMC3795748
226,search,10.1371/journal.pcbi.1009726,35143484,PMC8830725
227,search,10.1038/s41592-019-0461-4,31308550,PMC7995176
228,both,NA,27577487,NA
229,both,10.1186/s12859-019-3147-0,31675914,PMC6824123
230,search,10.1186/s13326-016-0066-0,27152146,PMC4857245
231,both,10.1186/s13326-017-0161-x,29122012,PMC5679337
232,search,10.1590/s1678-9946202264041,35703610,PMC9190514
233,both,NA,29888054,PMC5961829
234,both,10.1093/database/bav104,26507285,PMC4622021
235,both,10.3389/fnmol.2017.00212,28713243,PMC5492163
236,both,10.2196/18395,33006565,PMC7568218
237,search,NA,NA,PMC6012034
238,search,NA,NA,PMC6217690
239,search,10.1161/circgen.120.003196,33625251,PMC8284374
240,search,NA,NA,PMC6012795
241,search,NA,NA,PMC6012077
242,search,NA,NA,PMC6217677
243,search,NA,NA,PMC6012141
244,both,10.1186/2043-9113-4-8,25045465,PMC4081507
245,search,NA,NA,PMC6012947
246,both,10.1016/j.compbiomed.2021.104542,34139439,PMC8404035
247,search,10.1186/s12859-020-3392-2,32093606,PMC7041288
248,both,10.1186/s12859-017-1605-0,28340554,PMC5366146
249,search,NA,NA,PMC6012019
250,search,10.3802/jgo.2017.28.e49,28541637,PMC5447148
251,both,10.1093/nar/gku1011,25348409,PMC4383880
252,search,NA,NA,PMC6012542
253,search,NA,NA,PMC6012018
254,search,NA,NA,PMC6012864
255,search,NA,NA,PMC6011923
256,search,NA,NA,PMC6012780
257,search,NA,NA,PMC6012075
258,search,NA,NA,PMC6012942
259,search,NA,NA,PMC6012926
260,both,10.1371/journal.pcbi.1006762,30759076,PMC6373925
261,search,10.3390/nu11061300,31181762,PMC6628051
262,both,10.1186/s13321-018-0312-9,30519990,PMC6755715
263,both,10.1155/2016/4130861,27635398,PMC5011202
264,both,10.3389/fmicb.2017.01068,28694792,PMC5483436
265,search,10.3389/fnmol.2017.00250,28848387,PMC5554380
266,search,NA,NA,PMC6011997
267,search,NA,NA,PMC6012941
268,search,10.1016/j.celrep.2021.110005,34788626,PMC8631509
269,both,10.1038/s41467-022-31707-4,35882847,PMC9325891
270,search,10.12688/f1000research.19571.2,31372216,PMC6662680
271,both,10.1093/database/bax044,29220436,PMC5502356
272,both,10.1186/1471-2105-12-S10-S4|10.1186/1471-2105-12-s10-s4,22165817,PMC3236847
273,search,10.1186/s13040-019-0206-z,31673292,PMC6815005
274,search,10.1101/2021.07.04.451040,NA,NA
275,both,10.1016/j.csbj.2021.06.046,34306572,PMC8280514
276,both,10.1093/jamiaopen/ooy008,31984320,PMC6951984
277,both,10.1371/journal.pone.0185797,29020091,PMC5636111
278,both,10.1093/nar/gkx1062,29106618,PMC5753383
279,both,10.1186/s13040-018-0190-8,30675185,PMC6334395
280,both,NA,30815087,PMC6371329
281,search,NA,NA,PMC5692975
282,search,10.1038/s41598-018-29789-6,30111857,PMC6093887
283,both,10.1093/nar/gkr972,22080554,PMC3245088
284,search,10.1093/database/baaa074,33247935,PMC7698665
285,both,10.1038/sdata.2017.125,28925997,PMC5604135
286,search,10.1073/pnas.1802973116,30846554,PMC6442595
287,search,10.1093/database/baw082,27242038,PMC4885602
288,search,NA,NA,PMC5692004
289,search,NA,NA,PMC5692699
290,both,10.1155/2020/8865808,33489061,PMC7787845
291,both,NA,23424146,PMC3587774
292,search,10.1186/1746-1596-8-122,23886403,PMC3751136
293,both,10.1186/s13326-015-0004-6,25789153,PMC4364458
294,both,10.1186/1471-2105-12-266,21714896,PMC3150296
295,both,10.1186/s13326-017-0132-2,28629436,PMC5477351
296,search,10.1186/s13326-016-0064-2,27175225,PMC4863347
297,both,10.1200/CCI.19.00117|10.1200/cci.19.00117,32142370,PMC7101249
298,search,NA,NA,PMC6012652
299,search,10.2196/18500,34057427,PMC8204232
300,both,10.1002/cpbi.19,27930807,PMC5152691
301,both,10.1186/s12859-018-2039-z,29402212,PMC5800055
302,search,10.1002/cne.24196,28256708,PMC6296778
303,search,10.1371/journal.pone.0234986,32634135,PMC7340312
304,both,10.1186/s13326-017-0170-9,29335022,PMC5769431
305,search,10.1186/2041-1480-3-s2-s3,23046572,PMC3448532
306,search,10.1186/s12014-015-9091-8,26251654,PMC4527102
307,both,10.1093/nar/gks1244,23197658,PMC3531051
308,search,NA,NA,PMC6012199
309,search,NA,NA,PMC6012482
310,search,NA,NA,PMC6012123
311,search,NA,NA,PMC6011899
312,search,10.2183/pjab.96.021,32788551,PMC7443379
313,both,10.1186/s40246-016-0061-7,26772741,PMC4715272
314,search,NA,NA,PMC5782707
315,both,10.1016/j.ajhg.2015.05.020,26119816,PMC4572507
316,both,10.1093/database/bax014,28365732,PMC5467561
317,search,NA,NA,PMC5782706
318,search,10.1186/s13046-017-0651-9,29208006,PMC5717815
319,search,10.1002/psp4.12155,28063254,PMC5321808
320,search,10.1093/nar/gkw1128,27899636,PMC5210586
321,search,10.3390/vaccines8030397,32698423,PMC7564417
322,both,10.1093/bioinformatics/bts215,22689774,PMC3371847
323,both,10.1186/s13326-015-0028-y,26140188,PMC4488034
324,both,10.1186/s13326-016-0085-x,27296450,PMC4907256
325,both,NA,21347137,PMC3041538
326,search,NA,NA,NA
327,search,10.1186/s13326-016-0058-0,27034769,PMC4815270
328,both,10.1155/2020/5904315,32308806,PMC7142358
329,both,10.1155/2014/134023,25254202,PMC4165507
330,search,NA,NA,PMC4144621
331,search,NA,22779044,PMC3392061
332,search,10.2147/ott.s158975,29588604,PMC5860139
333,both,10.1186/1471-2164-10-S1-S6|10.1186/1471-2164-10-s1-s6,19594883,PMC2709267
334,search,10.1155/2018/8601028,30693066,PMC6332925
335,search,10.4314/ejhs.v28i2.14,29983520,PMC6016343
336,search,NA,NA,PMC6012097
337,both,10.3402/jev.v4.27497,26320941,PMC4553261
338,both,10.1007/s40264-016-0414-0,27003817,PMC4933310
339,search,NA,NA,PMC5782708
340,search,10.1186/s13326-018-0187-8,30111369,PMC6094585
341,search,NA,NA,PMC5692519
342,search,NA,NA,PMC5692639
343,both,10.1093/database/baaa015,32283553,PMC7153956
344,both,10.1093/bioinformatics/bts350,22711793,PMC3493115
345,search,10.1038/s41598-019-40102-x,30833663,PMC6399448
346,search,10.1093/nar/gkv382,25904633,PMC4489246
347,search,10.1093/nar/gku724,25106869,PMC4383999
348,search,10.1016/j.compbiomed.2017.05.026,28601712,PMC5572073
349,search,10.1007/s00335-015-9577-8,26092691,PMC4602072
350,search,10.1371/journal.pcbi.1003432,24453957,PMC3894162
351,search,10.3233/sw-160238,28819351,PMC5555235
352,both,10.1186/s12859-019-2829-y,31060502,PMC6503437
353,search,10.1186/2041-1480-5-37,25852852,PMC4387853
354,search,10.1155/2013/136732,23533462,PMC3594946
355,search,10.1101/2020.09.28.20203257,NA,NA
356,search,NA,NA,PMC5782705
357,search,10.2196/14737,32053117,PMC7055759
358,both,10.1186/s12885-019-6278-9,31684899,PMC6829976
359,both,10.1038/srep34820,27703231,PMC5050487
360,search,10.1016/j.heliyon.2018.e00867,30417144,PMC6218668
361,both,10.1186/1471-2105-10-S2-S1|10.1186/1471-2105-10-s2-s1,19208184,PMC2646250
362,search,10.3389/fpsyg.2020.586699,33536966,PMC7848848
363,search,10.1038/nature21374,28241135,PMC6857182
364,both,10.1186/s13073-019-0686-y,31796060,PMC6891984
365,both,NA,29854250,PMC5977606
366,search,10.1038/sdata.2018.230,30351302,PMC6206617
367,search,10.1186/1756-0500-3-175,20569493,PMC2911465
368,search,NA,NA,PMC5782709
369,search,10.1186/s12920-016-0189-2,27535358,PMC4989895
370,search,NA,NA,PMC5801734
371,search,10.1093/jamia/ocu004,25868462,PMC4986666
372,search,10.1093/nar/gkw918,27733503,PMC5210626
373,search,10.1016/j.websem.2011.06.005,21918645,PMC3170774
374,search,10.1186/1471-2105-11-29,20074352,PMC2831003
375,both,10.1007/s10278-013-9599-2,23589184,PMC3705004
376,both,10.1093/bioinformatics/btp193,19478018,PMC2687947
377,search,NA,29636656,PMC5889951
378,both,10.1155/2019/1769437,31223421,PMC6542245
379,both,10.1016/j.future.2020.06.019,32572291,PMC7301140
380,both,10.1016/j.omtn.2019.09.019,31678735,PMC6838934
381,both,10.1093/database/bav019,25819073,PMC4377087
382,search,10.1016/j.immuni.2020.12.011,33382973,PMC7831653
383,both,10.1371/journal.pone.0049198,23155465,PMC3498356
384,both,10.1128/mBio.01263-15|10.1128/mbio.01263-15,26507230,PMC4626853
385,search,10.1097/pai.0b013e31818eca8b,19384081,PMC5049510
386,both,10.1002/ctm2.28,32508008,PMC7240856
387,both,10.1186/s13073-019-0687-x,31779674,PMC6883603
388,both,10.1186/s13040-016-0082-8,26788126,PMC4717572
389,search,10.1186/2041-1480-2-s2-s1,21624155,PMC3102889
390,search,10.1093/nar/gkq1038,21051346,PMC3013658
391,both,10.1186/s13059-014-0438-7,25222080,PMC4281950
392,search,10.1038/s41598-018-26525-y,29849050,PMC5976644
393,search,10.6026/97320630006288,21738333,PMC3124697
394,both,NA,21347171,PMC3041576
395,both,10.1136/amiajnl-2011-000631,22494789,PMC3392849
396,search,10.1186/2041-1480-1-s1-s1,20626921,PMC2903720
397,search,10.3802/jgo.2017.28.e65,28657226,PMC5540724
398,both,10.1093/nar/gks1080,23161684,PMC3531119
399,search,10.1186/2041-1480-5-29,25093068,PMC4120740
400,search,10.1002/humu.23542,29704307,PMC6033003
401,both,10.1093/bib/bby015,29579141,PMC6781604
402,search,10.1093/bioinformatics/btv196,25861967,PMC4528628
403,both,10.1016/j.jbi.2011.04.007,21550421,PMC3392036
404,search,10.1093/bib/bbv080,26463000,PMC4945830
405,search,10.1186/2041-1480-5-s1-s5,25093074,PMC4108877
406,both,10.12688/f1000research.6836.2,26834985,PMC4706053
407,both,10.1371/journal.pone.0189663,29261751,PMC5738129
408,search,10.1215/15228517-2006-033,NA,PMC1871670
409,search,10.1111/hex.12482,27436592,PMC5513010
410,both,10.1186/1471-2164-12-603,22165947,PMC3271090
411,search,10.1504/ijdmb.2016.077072,27990175,PMC5156483
412,both,10.1186/s13326-016-0061-5,27076901,PMC4830068
413,both,10.1186/2041-1480-4-35,24267822,PMC4177144
414,search,10.1111/1460-6984.12136,25556549,PMC5524129
415,search,10.1111/j.1750-3639.2001.tb01089.x,11556694,PMC8098319
416,both,10.1186/1755-8794-8-S2-S9|10.1186/1755-8794-8-s2-s9,26043920,PMC4460923
417,search,10.1371/journal.pone.0111226,25379899,PMC4224389
418,search,NA,23304328,PMC3540574
419,both,10.1038/s41586-019-1689-y,31645765,PMC6872491
420,search,NA,21347046,PMC3041331
421,both,10.1002/jnr.23804,27638616,PMC5129482
422,search,10.1089/omi.2013.0149,24456465,PMC3903324
423,search,10.3346/jkms.2002.17.5.723,12378033,PMC3054946
424,both,10.1186/gb-2009-10-6-221,19591646,PMC2718486
425,both,10.3389/fgene.2012.00111,22737162,PMC3381282
426,search,10.1111/j.1750-3639.1999.tb00543.x,10517500,PMC8098498
427,search,10.1038/srep37324,27857184,PMC5114649
428,search,10.1111/j.1750-3639.2005.tb00096.x,15779233,PMC8095945
429,both,10.1016/j.cell.2019.02.018,30951672,PMC6616370
430,search,10.1038/s41684-018-0150-4,30224793,PMC6322546
431,both,10.1371/journal.pcbi.1005641,28678787,PMC5517062
432,search,10.1016/j.jbi.2016.03.007,26988001,PMC4893909
433,search,10.1186/s13059-014-0560-6,25723102,PMC4310165
434,search,10.1093/database/bap019,20157492,PMC2797454
435,search,10.1215/s1522851705000347,16443951,PMC1871926
436,both,10.1186/1471-2105-12-218,21619703,PMC3129328
437,both,10.1186/s13326-018-0176-y,29409535,PMC5800094
438,search,10.3346/jkms.2003.18.4.595,12923341,PMC3055094
439,search,NA,NA,PMC8098369
440,search,10.3346/jkms.2003.18.5.768,14555838,PMC3055108
441,both,10.15252/msb.20145222,25261458,PMC4299661
442,both,10.1038/nature13182,24670764,PMC4529748
443,search,NA,NA,PMC1731484
444,search,10.1136/jcp.54.8.655,11477128,PMC1731493
445,both,10.1186/s13326-017-0128-y,28592275,PMC5463318
446,search,10.1124/jpet.114.214437,24947466,PMC4152882
447,search,10.1136/jcp.54.8.656,11477129,PMC1731500
448,search,10.1136/jcp.54.8.655-a,11477127,PMC1731501
449,search,10.1111/j.1750-3639.1997.tb00902.x,9217983,PMC8098561
450,search,10.1007/978-1-4939-0709-0_4,24788261,PMC4636907
451,both,10.7554/eLife.26726|10.7554/elife.26726,28936969,PMC5640425
452,search,10.1111/j.1750-3639.2006.tb00557.x,16612978,PMC8095906
453,search,10.1111/j.1750-3639.2003.tb00039.x,12946029,PMC8095919
454,both,10.1007/978-1-4939-6371-3_1,27730573,PMC5107610
455,search,10.1186/1471-2105-10-s10-s11,19796395,PMC2755819
456,search,NA,19270971,PMC2620442
457,search,NA,19277308,PMC2619635
458,search,NA,NA,PMC4046281
459,search,NA,NA,PMC4046282
460,search,10.3390/ijms20112718,31163577,PMC6600399
461,search,10.1186/1471-2105-14-35,23374886,PMC3571923
462,search,10.1136/jcp.44.7.580,1856291,PMC496799
463,search,NA,19265987,PMC2620625
464,search,10.1128/jb.175.22.7471-7473.1993,8226693,PMC206893
465,search,10.1111/j.1349-7006.2002.tb01244.x,12495475,PMC5926929
466,search,10.1136/jcp.40.12.1456,3429675,PMC1141283
467,search,10.1038/bjc.1995.26,7819027,PMC2033434
468,search,10.1128/aem.57.12.3660-3663.1991,1785938,PMC184031
469,search,10.1093/neuonc/1.2.139,11550309,PMC1920753
470,search,10.1055/s-2008-1058575,17171051,PMC1656674
471,search,10.1289/ehp.7822171,648487,PMC1637135
472,search,NA,6192722,PMC1916268
473,search,10.1128/cmr.00056-17,29187394,PMC5740975
474,search,10.1128/jb.163.3.1288-1289.1985,3897192,PMC219277
475,search,10.1054/bjoc.2000.1338,10944599,PMC2363501
476,search,NA,19270959,PMC2620444
477,search,10.1084/jem.181.1.93,7807027,PMC2191852
478,search,10.1128/jb.170.7.3310-3313.1988,2838467,PMC211290
479,search,10.1111/j.1349-7006.2000.tb00935.x,10761710,PMC5926319
480,search,NA,8382007,PMC1886739
481,search,10.1093/genetics/133.3.433,8454199,PMC1205332
482,search,10.1136/bmj.315.7110.696,9314747,PMC2127477
483,search,10.1136/bmj.315.7110.695,9314746,PMC2127489
484,search,10.1136/bmj.315.7110.692,9314743,PMC2127491
485,search,10.1136/bmj.315.7110.693,9314744,PMC2127486
486,search,10.1136/bmj.315.7110.691,9314742,PMC2127499
487,search,10.1136/bmj.315.7110.694,9314745,PMC2127510
488,search,10.1128/aem.59.6.1883-1886.1993,16348965,PMC182175
489,search,10.1111/j.1349-7006.2001.tb01091.x,11267936,PMC5926717
490,search,10.1128/jb.164.2.960-963.1985,2932429,PMC214352
491,search,10.1128/aem.39.5.1046-1053.1980,6446882,PMC291473
492,search,10.1007/s40264-022-01219-7,NA,PMC9421640
493,search,NA,7495283,PMC1869955
