id,src,pmid,pmcid,doi,epmc_id,from,source,title,authorString,journalTitle,journalVolume,pubYear,journalIssn,pageInfo,pubType,isOpenAccess,inEPMC,inPMC,hasPDF,hasBook,hasSuppl,citedByCount,hasReferences,hasTextMinedTerms,hasDbCrossReferences,hasLabsLinks,hasTMAccessionNumbers,firstIndexDate,firstPublicationDate,issue,versionNumber,pub_type
16,epmc|pmc,35406747,PMC8997660,10.3390/cells11071183,35406747,search,MED,The Immune Profile of Major Dysmood Disorder: Proof of Concept and Mechanism Using the Precision Nomothetic Psychiatry Approach.,"Maes M, Rachayon M, Jirakran K, Sodsai P, Klinchanhom S, Gałecki P, Sughondhabirom A, Basta-Kaim A.",Cells,11,2022,2073-4409,1183,research-article; journal article,Y,Y,N,Y,N,Y,1,Y,Y,N,N,Y,2022-04-13,2022-03-31,7,NA,journal article
17,epmc|pmc,35889336,PMC9317794,10.3390/molecules27144463,35889336,search,MED,A Novel Based-Network Strategy to Identify Phytochemicals from Radix Salviae Miltiorrhizae (Danshen) for Treating Alzheimer's Disease.,"Li B, Wu YR, Li L, Liu Y, Yan ZY.",Molecules,27,2022,1420-3049,4463,research-article; journal article,Y,Y,N,Y,N,Y,0,Y,Y,N,Y,N,2022-07-28,2022-07-12,14,NA,journal article
18,epmc|pmc,34943202,PMC8698300,10.3390/biology10121287,34943202,search,MED,Matching Biomedical Ontologies through Adaptive Multi-Modal Multi-Objective Evolutionary Algorithm.,"Xue X, Tsai PW, Zhuang Y.",Biology (Basel),10,2021,2079-7737,1287,research-article; journal article,Y,Y,N,Y,N,N,0,Y,Y,N,Y,N,2021-12-25,2021-12-07,12,NA,journal article
19,epmc|pmc|pm,34753514,PMC8579680,10.1186/s40246-021-00366-9,34753514,search,MED,A robust and stable gene selection algorithm based on graph theory and machine learning.,"Saha S, Soliman A, Rajasekaran S.",Hum Genomics,15,2021,1473-9542; 1479-7364;,66,"research-article; research support, u.s. gov't, non-p.h.s.; journal article",Y,Y,N,Y,N,Y,0,Y,Y,N,Y,Y,2021-11-27,2021-11-09,1,NA,journal article
20,epmc|pmc,34829993,PMC8619767,10.3390/ijms222212108,34829993,search,MED,"New Drug Targets to Prevent Death Due to Stroke: A Review Based on Results of Protein-Protein Interaction Network, Enrichment, and Annotation Analyses.","Maes M, Nikiforov NG, Plaimas K, Suratanee A, Alfieri DF, Vissoci Reiche EM.",Int J Mol Sci,22,2021,1422-0067,12108,im; review-article; review; journal article,Y,Y,N,Y,N,Y,0,Y,Y,N,Y,Y,2021-12-01,2021-11-09,22,NA,journal article
22,epmc|pmc,35457105,PMC9025225,10.3390/ijms23084288,35457105,search,MED,Mouse Mutants of <i>Gpr37</i> and <i>Gpr37l1</i> Receptor Genes: Disease Modeling Applications.,"Massimi M, Di Pietro C, La Sala G, Matteoni R.",Int J Mol Sci,23,2022,1422-0067,4288,review-article; review; journal article,Y,Y,N,Y,N,N,0,Y,Y,Y,N,Y,2022-04-24,2022-04-13,8,NA,journal article
24,epmc|pmc,35453484,PMC9025015,10.3390/biomedicines10040734,35453484,search,MED,Osteopontin-A Potential Biomarker for IgA Nephropathy: Machine Learning Application.,"Moszczuk B, Krata N, Rudnicki W, Foroncewicz B, Cysewski D, Pączek L, Kaleta B, Mucha K.",Biomedicines,10,2022,2227-9059,734,research-article; journal article,Y,Y,N,Y,N,Y,0,Y,Y,N,N,Y,2022-04-24,2022-03-22,4,NA,journal article
25,epmc|pmc,35380657,PMC8982048,10.1093/genetics/iyac005,35380657,search,MED,MOET: a web-based gene set enrichment tool at the Rat Genome Database for multiontology and multispecies analyses.,"Vedi M, Nalabolu HS, Lin CW, Hoffman MJ, Smith JR, Brodie K, De Pons JL, Demos WM, Gibson AC, Hayman GT, Hill ML, Kaldunski ML, Lamers L, Laulederkind SJF, Thorat K, Thota J, Tutaj M, Tutaj MA, Wang SJ, Zacher S, Dwinell MR, Kwitek AE.",Genetics,220,2022,0016-6731; 1943-2631;,iyac005,"research-article; journal article; research support, n.i.h., extramural",Y,Y,N,Y,N,Y,0,Y,Y,N,Y,Y,2022-04-06,2022-04-01,4,NA,journal article
26,epmc|pmc,35529440,PMC9068950,10.3389/fphar.2022.877806,35529440,search,MED,A Tau Pathogenesis-Based Network Pharmacology Approach for Exploring the Protections of <i>Chuanxiong Rhizoma</i> in Alzheimer's Disease.,"Zeng P, Su HF, Ye CY, Qiu SW, Shi A, Wang JZ, Zhou XW, Tian Q.",Front Pharmacol,13,2022,1663-9812,877806,research-article; journal article,Y,Y,N,Y,N,Y,0,Y,Y,N,Y,N,2022-05-10,2022-04-21,NA,NA,journal article
27,epmc|pmc,36225644,PMC9548019,NA,36225644,search,MED,CircMYH9 increases KPNA2 mRNA stability to promote hepatocellular carcinoma progression in an EIF4A3-dependent manner.,"Xia J, Wu C, Tang Y, Tang J, Zhu D, Zhang F, Xu Z, Sun D, Tan Z, Zhuo H.",Am J Cancer Res,12,2022,2156-6976,4361-4372,research-article; journal article,N,Y,N,Y,N,N,0,Y,Y,N,N,Y,2022-10-13,2022-09-15,9,NA,journal article
28,epmc|pmc,33613767,PMC7890315,10.7150/jca.51551,33613767,search,MED,Identification of Potential BRAF Inhibitor Joint Therapy Targets in PTC based on WGCAN and DCGA.,"Han Y, Yu X, Yin Y, Lv Z, Jia C, Liao Y, Sun H, Liu T, Cong L, Fei Z, Fu D, Cong X, Qu S.",J Cancer,12,2021,1837-9664,1779-1791,research-article; journal article,Y,Y,N,Y,N,N,2,Y,Y,N,Y,Y,2021-02-23,2021-01-21,6,NA,journal article
31,epmc,NA,NA,10.20944/preprints202109.0201.v1,PPR394222,search,PPR,"Aberrations in the Cross-Talks Among Redox, Nuclear Factor-κB and Wnt/Catenin Pathway Signaling Underpin Myalgic Encephalomyelitis andChronic Fatigue Syndrome: A Review and New Hypothesis Based on Results of Network, Enrichment and Annotation Analyses","Maes M, Kubera M, Kotańska M.",NA,NA,2021,NA,NA,preprint,N,N,N,N,N,N,0,N,Y,N,Y,N,2021-09-14,2021-09-13,NA,NA,preprint
32,epmc|pmc,32973862,PMC7469919,10.3389/fgene.2020.00695,32973862,search,MED,Universal Nature of Drug Treatment Responses in Drug-Tissue-Wide Model-Animal Experiments Using Tensor Decomposition-Based Unsupervised Feature Extraction.,"Taguchi Y, Turki T.",Front Genet,11,2020,1664-8021,695,research-article; journal article,Y,Y,N,Y,N,Y,0,Y,Y,N,Y,Y,2020-09-26,2020-08-20,NA,NA,journal article
37,epmc|pmc,35924984,PMC9477531,10.1093/bioinformatics/btac541,35924984,search,MED,ASURAT: Functional annotation-driven unsupervised clustering of single-cell transcriptomes.,"Iida K, Kondo J, Wibisana JN, Inoue M, Okada M.",Bioinformatics,NA,2022,1367-4803; 1367-4811;,btac541,research-article; journal article,Y,Y,N,Y,N,Y,0,Y,Y,N,Y,Y,2022-08-05,2022-08-04,NA,NA,journal article
38,epmc|pmc,35976660,PMC9538419,10.1002/eji.202249804,35976660,search,MED,Humanized mice for investigating SARS-CoV-2 lung infection and associated human immune responses.,"Sun R, Zhao Z, Fu C, Wang Y, Guo Z, Zhang C, Liu L, Zhang C, Shu C, He J, Yang YG, Hua S, Gao Y, Hu Z.",Eur J Immunol,52,2022,0014-2980; 1521-4141;,1640-1647,brief-report; journal article,Y,Y,N,Y,N,Y,0,Y,Y,N,Y,N,2022-08-18,2022-09-01,10,NA,journal article
39,epmc|pmc,35675043,PMC9217709,10.18632/aging.204112,35675043,search,MED,Identification of prognostic candidate signatures by systematically revealing transcriptome characteristics in lung adenocarcinoma with differing tumor microenvironment immune phenotypes.,"Chen Q, Ma J, Wang X, Zhu X.",Aging (Albany NY),14,2022,1945-4589,4786-4818,"research support, non-u.s. gov't; research-article; journal article",Y,Y,N,Y,N,Y,0,Y,Y,N,Y,Y,2022-06-08,2022-06-07,11,NA,journal article
41,epmc|pmc,34394377,PMC8360715,10.1155/2021/1353674,34394377,search,MED,"Data Mining, Network Pharmacology, and Molecular Docking Explore the Effects of Core Traditional Chinese Medicine Prescriptions in Patients with Rectal Cancer and Qi and Blood Deficiency Syndrome.","Ma S, Zheng L, Zheng L, Bian X.",Evid Based Complement Alternat Med,2021,2021,1741-427x; 1741-4288;,1353674,research-article; journal article,Y,Y,N,Y,N,Y,0,Y,Y,N,Y,Y,2021-08-18,2021-08-02,NA,NA,journal article
44,epmc|pmc,34237135,PMC8574625,10.1093/bib/bbab141,34237135,search,MED,Identification of viral-mediated pathogenic mechanisms in neurodegenerative diseases using network-based approaches.,"Onisiforou A, Spyrou GM.",Brief Bioinform,22,2021,1467-5463; 1477-4054;,bbab141,"im; research support, non-u.s. gov't; research-article; journal article",Y,Y,N,Y,N,Y,1,Y,Y,N,Y,N,2021-07-09,2021-11-01,6,NA,journal article
47,epmc,34988225,PMC8720586,10.1155/2021/3654660,34988225,search,MED,Target Deconvolution of Fenofibrate in Nonalcoholic Fatty Liver Disease Using Bioinformatics Analysis.,"Mahmoudi A, Butler AE, Jamialahmadi T, Sahebkar A.",Biomed Res Int,2021,2021,2314-6133; 2314-6141;,3654660,research-article; journal article,Y,Y,N,Y,N,N,0,Y,Y,N,Y,Y,2022-01-07,2021-12-26,NA,NA,journal article
48,epmc|pmc,34998242,PMC8733122,10.1016/j.ebiom.2021.103807,34998242,search,MED,Lack of evidence of significant homology of SARS-CoV-2 spike sequences to myocarditis-associated antigens.,"Marrama D, Mahita J, Sette A, Peters B.",EBioMedicine,75,2022,2352-3964,103807,research-article; journal article,Y,Y,N,Y,N,Y,1,Y,Y,N,Y,Y,2022-01-09,2022-01-06,NA,NA,journal article
49,epmc|pmc|pm,32579259,PMC7765463,10.1002/em.22396,32579259,search,MED,Subacute cannabidiol alters genome-wide DNA methylation in adult mouse hippocampus.,"Wanner NM, Colwell M, Drown C, Faulk C.",Environ Mol Mutagen,61,2020,0893-6692; 1098-2280;,890-900,"research-article; journal article; research support, n.i.h., extramural",N,Y,N,Y,N,Y,3,Y,Y,N,Y,Y,2020-06-25,2020-08-10,9,NA,journal article
53,epmc|pmc,33407110,PMC7785925,10.1186/s12864-020-07300-8,33407110,search,MED,Rapid single cell evaluation of human disease and disorder targets using REVEAL: SingleCell™.,"Kumar N, Golhar R, Sharma KS, Holloway JL, Sarangi S, Neuhaus I, Walsh AM, Pitluk ZW.",BMC Genomics,22,2021,1471-2164,5,research-article; journal article,Y,Y,N,Y,N,Y,0,Y,Y,Y,Y,N,2021-01-08,2021-01-06,1,NA,journal article
54,epmc|pmc,34015823,PMC8195003,10.1093/bib/bbab191,34015823,search,MED,COVID-19 biomarkers and their overlap with comorbidities in a disease biomarker data model.,"Gogate N, Lyman D, Bell A, Cauley E, Crandall KA, Joseph A, Kahsay R, Natale DA, Schriml LM, Sen S, Mazumder R.",Brief Bioinform,22,2021,1467-5463; 1477-4054;,bbab191,im; research-article; journal article,Y,Y,N,Y,N,N,0,Y,Y,N,Y,N,2021-05-21,2021-11-01,6,NA,journal article
55,epmc|pmc,33623880,PMC7881431,10.14744/nci.2020.12129,33623880,search,MED,Mycosis fungoides of the vulva.,"Tjalma WAA, Janssens M, Dam K, Najim O, de Velde AV, Huizing M, Berneman Z, Schroyens W.",North Clin Istanb,8,2021,2148-4902; 2536-4553;,101-105,case reports; case-report,Y,Y,N,Y,N,N,0,Y,Y,N,Y,N,2021-02-25,2020-11-23,1,NA,case report
56,epmc|pmc,34986596,PMC8728143,10.1093/nar/gkab1086,34986596,search,MED,The Human Proteoform Atlas: a FAIR community resource for experimentally derived proteoforms.,"Hollas MAR, Robey MT, Fellers RT, LeDuc RD, Thomas PM, Kelleher NL.",Nucleic Acids Res,50,2022,0305-1048; 1362-4962;,D526-D533,"research support, non-u.s. gov't; research-article; journal article; research support, n.i.h., extramural",Y,Y,N,Y,N,Y,1,Y,Y,N,Y,N,2022-01-06,2022-01-01,d1,NA,journal article
61,epmc|pmc,34055926,PMC8163519,10.3389/fcvm.2021.631650,34055926,search,MED,Integrated DNA Methylation and Gene Expression Analysis Identified S100A8 and S100A9 in the Pathogenesis of Obesity.,"Chen N, Miao L, Lin W, Zou D, Huang L, Huang J, Shi W, Li L, Luo Y, Liang H, Pan S, Peng J.",Front Cardiovasc Med,8,2021,2297-055x,631650,research-article; journal article,Y,Y,N,Y,N,Y,1,Y,Y,N,Y,Y,2021-06-01,2021-05-13,NA,NA,journal article
63,epmc,NA,NA,10.1101/2022.04.18.488660,PPR484208,search,PPR,Modeling COVID-19 disease biology to identify drug treatment candidates,"Jessen WJ, Gaisenband SD, Quintanilla M, Lula S, McLeroth P, Sullivan A, Letovsky S.",NA,NA,2022,NA,NA,preprint,Y,N,N,N,N,N,0,N,Y,N,Y,N,2022-04-22,2022-04-18,NA,NA,preprint
64,epmc,NA,NA,NA,PPR343119,search,PPR,ROC: An Ontology for Country Responses towards COVID-19,"Qundus JA, Schäfermeier R, Karam N, Peikert S, Paschke A.",NA,NA,2021,NA,NA,preprint,Y,Y,N,Y,N,N,0,N,Y,N,N,N,2021-05-20,2021-04-15,NA,NA,preprint
66,epmc|pmc,32693820,PMC7374976,10.1186/s13148-020-00888-4,32693820,search,MED,Alternative methylation of intron motifs is associated with cancer-related gene expression in both canine mammary tumor and human breast cancer.,"Nam AR, Lee KH, Hwang HJ, Schabort JJ, An JH, Won SH, Cho JY.",Clin Epigenetics,12,2020,1868-7075; 1868-7083;,110,"comparative study; research support, non-u.s. gov't; research-article; journal article",Y,Y,N,Y,N,Y,4,Y,Y,N,Y,Y,2020-07-23,2020-07-21,1,NA,journal article
67,epmc|pmc,36080270,PMC9457917,10.3390/molecules27175502,36080270,search,MED,"Exosome Proteomics Reveals the Deregulation of Coagulation, Complement and Lipid Metabolism Proteins in Gestational Diabetes Mellitus.","Bernea EG, Suica VI, Uyy E, Cerveanu-Hogas A, Boteanu RM, Ivan L, Ceausu I, Mihai DA, Ionescu-Tîrgoviște C, Antohe F.",Molecules,27,2022,1420-3049,5502,research-article; journal article,Y,Y,N,Y,N,Y,0,Y,Y,N,N,N,2022-09-09,2022-08-26,17,NA,journal article
70,epmc|pmc,35021991,PMC8756622,10.1186/s12859-021-04530-9,35021991,search,MED,Knowledge graph analytics platform with LINCS and IDG for Parkinson's disease target illumination.,"Yang JJ, Gessner CR, Duerksen JL, Biber D, Binder JL, Ozturk M, Foote B, McEntire R, Stirling K, Ding Y, Wild DJ.",BMC Bioinformatics,23,2022,1471-2105,37,research-article; journal article,Y,Y,N,Y,N,Y,0,Y,Y,N,Y,Y,2022-01-14,2022-01-12,1,NA,journal article
72,epmc|pmc,35346379,PMC8962212,10.1186/s13326-022-00266-4,35346379,search,MED,Improving reusability along the data life cycle: a regulatory circuits case study.,"Louarn M, Chatonnet F, Garnier X, Fest T, Siegel A, Faron C, Dameron O.",J Biomed Semantics,13,2022,2041-1480,11,"research support, non-u.s. gov't; research-article; journal article",Y,Y,N,Y,N,N,0,Y,Y,N,Y,N,2022-03-30,2022-03-28,1,NA,journal article
73,epmc|pmc,34463284,PMC8572689,10.1684/ejd.2021.4107,34463284,search,MED,Vascular skin manifestations in patients with severe COVID-19 in intensive care units: a monocentric prospective study.,"Dezoteux F, Mille B, Fievet C, Moreau AS, Duhamel A, Drumez E, Mathieu D, Poissy J, Staumont-Salle D, Buche S.",Eur J Dermatol,NA,2021,1167-1122; 1952-4013;,NA,research-article; journal article,Y,Y,N,Y,N,N,1,Y,Y,N,Y,N,2021-09-01,2021-08-26,NA,NA,journal article
75,epmc|pmc,31138117,PMC6538554,10.1186/s12859-019-2810-9,31138117,search,MED,Multi-domain semantic similarity in biomedical research.,"Ferreira JD, Couto FM.",BMC Bioinformatics,20,2019,1471-2105,246,research-article; journal article,Y,Y,N,Y,N,N,0,Y,Y,N,Y,N,2019-05-31,2019-05-29,suppl 10,NA,journal article
77,epmc,36187336,PMC9519337,10.1155/2022/8425640,36187336,search,MED,Insights into the Promising Prospect of G Protein and GPCR-Mediated Signaling in Neuropathophysiology and Its Therapeutic Regulation.,"Rahman MM, Islam MR, Mim SA, Sultana N, Chellappan DK, Dua K, Kamal MA, Sharma R, Emran TB.",Oxid Med Cell Longev,2022,2022,1942-0900; 1942-0994;,8425640,review-article; review; journal article,Y,Y,N,Y,N,N,0,Y,Y,N,Y,N,2022-10-04,2022-09-21,NA,NA,journal article
82,epmc|pmc,35522426,PMC9357359,10.1111/cpr.13238,35522426,search,MED,"Human pluripotent stem cell registry: Operations, role and current directions.","Kurtz A, Mah N, Chen Y, Fuhr A, Kobold S, Seltmann S, Müller SC.",Cell Prolif,55,2022,0960-7722; 1365-2184;,e13238,review-article; review; journal article,Y,Y,N,Y,N,N,0,Y,Y,N,Y,N,2022-05-07,2022-05-06,8,NA,journal article
84,epmc,NA,NA,10.1101/2020.06.24.169730,PPR180462,search,PPR,Rapid Single Cell Evaluation of Human Disease and Disorder Targets Using REVEAL: SingleCell<sup>™</sup>,"Kumar N, Golhar R, Sharma KS, Holloway JL, Sarangi S, Neuhaus I, Walsh AM, Pitluk ZW.",NA,NA,2020,NA,NA,preprint,Y,Y,N,Y,N,N,0,N,Y,N,Y,N,2020-06-27,2020-06-25,NA,NA,preprint
85,epmc|pmc,32190036,PMC7072119,10.1155/2020/1783564,32190036,search,MED,Association of Peroxisome Proliferator-Activated Receptors (PPARs) with Diabetic Retinopathy in Human and Animal Models: Analysis of the Literature and Genome Browsers.,"Tajnšek Š, Petrovič D, Globočnik Petrovič M, Kunej T.",PPAR Res,2020,2020,1687-4757; 1687-4765;,1783564,review-article; review; journal article,Y,Y,N,Y,N,N,2,Y,Y,N,Y,Y,2020-03-20,2020-03-03,NA,NA,journal article
87,epmc|pmc,35117497,PMC8798990,10.21037/tcr.2020.01.41,35117497,search,MED,Potential of microRNA expression profile in predicting renal impairment risk in multiple myeloma patients.,"Ren D, Cai Y, Xu G.",Transl Cancer Res,9,2020,2218-676x; 2219-6803;,1495-1505,research-article; journal article,Y,Y,N,Y,N,N,0,Y,Y,N,N,N,2022-02-05,2020-03-01,3,NA,journal article
88,epmc|pmc,33761868,PMC7992861,10.1186/s12859-021-04007-9,33761868,search,MED,m<sup>7</sup>GDisAI: N7-methylguanosine (m<sup>7</sup>G) sites and diseases associations inference based on heterogeneous network.,"Ma J, Zhang L, Chen J, Song B, Zang C, Liu H.",BMC Bioinformatics,22,2021,1471-2105,152,research-article; journal article,Y,Y,N,Y,N,Y,1,Y,Y,N,Y,N,2021-03-26,2021-03-24,1,NA,journal article
89,epmc|pmc,35801937,PMC9438948,10.1093/bioinformatics/btac491,35801937,search,MED,TogoID: an exploratory ID converter to bridge biological datasets.,"Ikeda S, Ono H, Ohta T, Chiba H, Naito Y, Moriya Y, Kawashima S, Yamamoto Y, Okamoto S, Goto S, Katayama T.",Bioinformatics,NA,2022,1367-4803; 1367-4811;,btac491,research-article; journal article,Y,Y,N,Y,N,Y,0,Y,N,N,Y,N,2022-07-09,2022-07-08,NA,NA,journal article
90,epmc|pmc,31739782,PMC6862811,10.1186/s12944-019-1142-0,31739782,search,MED,LncRNA SNHG8 is identified as a key regulator of acute myocardial infarction by RNA-seq analysis.,"Zhuo LA, Wen YT, Wang Y, Liang ZF, Wu G, Nong MD, Miao L.",Lipids Health Dis,18,2019,1476-511x,201,research-article; journal article,Y,Y,N,Y,N,Y,13,Y,Y,N,Y,Y,2019-11-20,2019-11-18,1,NA,journal article
95,epmc,NA,PMC8524170,NA,PMC8524170,search,PMC,O21 A case of thromboembolic ischaemic cardiomyopathy and intracardiac thrombus in a patient with antiphospholipid syndrome,"Alveyn E, Mahto A.",Rheumatol Adv Pract,5,2021,2514-1775,NA,abstract,Y,Y,Y,Y,N,N,0,N,Y,N,N,N,2021-10-22,2021-10-01,suppl 1,NA,abstract
97,epmc|pmc,34915552,PMC8800523,10.1093/jamia/ocab270,34915552,search,MED,Embedding electronic health records onto a knowledge network recognizes prodromal features of multiple sclerosis and predicts diagnosis.,"Nelson CA, Bove R, Butte AJ, Baranzini SE.",J Am Med Inform Assoc,29,2022,1067-5027; 1527-974x;,424-434,"research support, non-u.s. gov't; research-article; research support, u.s. gov't, non-p.h.s.; journal article",Y,Y,N,Y,N,Y,1,Y,Y,N,Y,Y,2021-12-25,2022-01-01,3,NA,journal article
98,epmc,NA,NA,NA,PPR310599,search,PPR,Ontology-driven weak supervision for clinical entity classification in electronic health records,"Fries JA, Steinberg E, Khattar S, Fleming SL, Posada J, Callahan A, Shah NH.",NA,NA,2021,NA,NA,preprint,Y,Y,N,Y,N,Y,0,N,Y,N,N,N,2021-04-13,2021-04-06,NA,2,preprint
101,epmc,30563060,PMC6315543,10.3390/cells7120245,30563060,search,MED,Exploring MicroRNA Biomarkers for Parkinson's Disease from mRNA Expression Profiles.,"Taguchi YH, Wang H.",Cells,7,2018,2073-4409,E245,research-article; journal article,Y,Y,N,Y,N,Y,10,Y,Y,N,Y,Y,2018-12-31,2018-12-05,12,NA,journal article
107,epmc|pmc,32509169,PMC7270033,NA,32509169,search,MED,Circular RNA profile of acute myeloid leukaemia indicates circular RNA annexin A2 as a potential biomarker and therapeutic target for acute myeloid leukaemia.,"Ding Y, Dong Y, Lu H, Luo X, Fu J, Xiu B, Liang A, Zhang W.",Am J Transl Res,12,2020,1943-8141,1683-1699,research-article; journal article,N,Y,N,Y,N,Y,7,Y,Y,N,Y,N,2020-06-08,2020-05-15,5,NA,journal article
112,epmc,NA,NA,NA,PPR272779,search,PPR,Denmark's Participation in the Search Engine TREC COVID-19 Challenge: Lessons Learned about Searching for Precise Biomedical Scientific Information on COVID-19,"Lima LC, Hansen C, Hansen C, Wang D, Maistro M, Larsen B, Simonsen JG, Lioma C.",NA,NA,2020,NA,NA,preprint,Y,Y,N,Y,N,Y,0,N,Y,N,N,N,2021-01-25,2020-11-26,NA,2,preprint
113,epmc|pmc,30237858,PMC6145694,10.18632/oncotarget.26032,30237858,search,MED,Comprehensive analysis identifying aberrant DNA methylation in rectal mucosa from ulcerative colitis patients with neoplasia.,"Toiyama Y, Okugawa Y, Kondo S, Okita Y, Araki T, Kusunoki K, Uchino M, Ikeuchi H, Hirota S, Mitsui A, Takehana K, Umezawa T, Kusunoki M.",Oncotarget,9,2018,1949-2553,33149-33159,research-article; journal article,Y,Y,N,Y,N,Y,1,Y,Y,N,Y,Y,2018-09-21,2018-09-04,69,NA,journal article
116,epmc|pmc,32477690,PMC7233094,NA,32477690,search,MED,A Word Graph-based Method for Disease Topic Identification in Biomedical Literature.,"Wang K, Xia E, Yu Y, Huang Z, Huang S, Mei J, Li S.",AMIA Jt Summits Transl Sci Proc,2020,2020,2153-4063,674-682,research-article; journal article,N,Y,N,Y,N,N,0,Y,Y,N,N,N,2020-06-02,2020-05-30,NA,NA,journal article
