internal_id,title,pmid,db,date,citedby_n
2019_NAR_Schriml,"Human Disease Ontology 2018 update: classification, content and workflow expansion",30407550,scite,2021-08-20,143
2019_NAR_Schriml,"Human Disease Ontology 2018 update: classification, content and workflow expansion",30407550,icite,2021-08-20,77
2019_NAR_Schriml,"Human Disease Ontology 2018 update: classification, content and workflow expansion",30407550,aminer,2021-08-20,0
2019_NAR_Schriml,"Human Disease Ontology 2018 update: classification, content and workflow expansion",30407550,semantic_scholar,2021-09-16,150
2009_BMCG_Osborne,Annotating the human genome with Disease Ontology,19594883,pubmed,2021-08-20,132
2009_BMCG_Osborne,Annotating the human genome with Disease Ontology,19594883,europepmc,2021-08-20,114
2009_BMCG_Osborne,Annotating the human genome with Disease Ontology,19594883,scopus,2021-08-20,187
2009_BMCG_Osborne,Annotating the human genome with Disease Ontology,19594883,scite,2021-08-20,185
2009_BMCG_Osborne,Annotating the human genome with Disease Ontology,19594883,icite,2021-08-20,162
2009_BMCG_Osborne,Annotating the human genome with Disease Ontology,19594883,aminer,2021-08-20,269
2009_BMCG_Osborne,Annotating the human genome with Disease Ontology,19594883,semantic_scholar,2021-09-16,265
2018_DMM_Bello,Disease Ontology: improving and unifying disease annotations across species,29590633,pubmed,2021-08-20,22
2018_DMM_Bello,Disease Ontology: improving and unifying disease annotations across species,29590633,europepmc,2021-08-20,17
2018_DMM_Bello,Disease Ontology: improving and unifying disease annotations across species,29590633,scopus,2021-08-20,28
2018_DMM_Bello,Disease Ontology: improving and unifying disease annotations across species,29590633,scite,2021-08-20,31
2018_DMM_Bello,Disease Ontology: improving and unifying disease annotations across species,29590633,icite,2021-08-20,21
2018_DMM_Bello,Disease Ontology: improving and unifying disease annotations across species,29590633,aminer,2021-08-20,29
2018_DMM_Bello,Disease Ontology: improving and unifying disease annotations across species,29590633,semantic_scholar,2021-09-16,33
