id,src,pmid,pmcid,doi,epmc_id
76,epmc,30624645,PMC7647183,10.1093/jamia/ocy161,30624645
77,epmc,36187336,PMC9519337,10.1155/2022/8425640,36187336
78,epmc,33836447,PMC8204262,10.1016/j.compbiomed.2021.104360,33836447
79,epmc,30934003,PMC6443178,10.1371/journal.pone.0213770,30934003
80,epmc,31533864,PMC6751637,10.1186/s13326-019-0208-2,31533864
81,epmc,33579375,PMC7881657,10.1186/s13326-021-00234-4,33579375
82,epmc,35522426,PMC9357359,10.1111/cpr.13238,35522426
83,epmc,30407550,PMC6323977,10.1093/nar/gky1032,30407550
84,epmc,NA,NA,10.1101/2020.06.24.169730,PPR180462
85,epmc,32190036,PMC7072119,10.1155/2020/1783564,32190036
86,epmc,35401219,PMC8983871,10.3389/fphar.2022.812338,35401219
87,epmc,35117497,PMC8798990,10.21037/tcr.2020.01.41,35117497
88,epmc,33761868,PMC7992861,10.1186/s12859-021-04007-9,33761868
89,epmc,35801937,PMC9438948,10.1093/bioinformatics/btac491,35801937
90,epmc,31739782,PMC6862811,10.1186/s12944-019-1142-0,31739782
91,epmc,35883487,PMC9313348,10.3390/biom12070932,35883487
92,epmc,34897464,PMC9209811,10.1093/genetics/iyab224,34897464
93,epmc,30753478,PMC6369425,10.1093/database/baz014,30753478
94,epmc,32241268,PMC7118830,10.1186/s12920-020-0679-0,32241268
95,epmc,NA,PMC8524170,NA,PMC8524170
96,epmc,32864105,PMC7445559,10.12688/f1000research.23180.2,32864105
97,epmc,34915552,PMC8800523,10.1093/jamia/ocab270,34915552
98,epmc,NA,NA,NA,PPR310599
99,epmc,30863320,PMC6399412,10.3389/fphys.2019.00154,30863320
100,epmc,29968796,PMC6030136,10.1038/s41598-018-28361-6,29968796
101,epmc,30563060,PMC6315543,10.3390/cells7120245,30563060
102,epmc,29531238,PMC5847511,10.1038/s41598-018-22345-2,29531238
103,epmc,31959844,PMC6971239,10.1038/s41598-020-57716-1,31959844
104,epmc,35454813,PMC9029532,10.3390/cancers14081906,35454813
105,epmc,31160594,PMC6546783,10.1038/s41597-019-0090-x,31160594
106,epmc,32020066,PMC7771654,10.1038/d41573-019-00180-y,32020066
107,epmc,32509169,PMC7270033,NA,32509169
108,epmc,31164903,PMC6536643,10.3389/fgene.2019.00466,31164903
109,epmc,30256117,PMC6606054,10.1021/acs.jproteome.8b00393,30256117
110,epmc,35902925,PMC9335954,10.1186/s12911-022-01927-1,35902925
111,epmc,31760937,PMC6876101,10.1186/s12859-019-3123-8,31760937
112,epmc,NA,NA,NA,PPR272779
113,epmc,30237858,PMC6145694,10.18632/oncotarget.26032,30237858
114,epmc,36085310,PMC9463154,10.1038/s41467-022-33026-0,36085310
115,epmc,29671401,PMC5907153,10.1186/s12918-018-0530-9,29671401
116,epmc,32477690,PMC7233094,NA,32477690
117,epmc,34600327,PMC8573608,10.1016/j.compbiomed.2021.104904,34600327
118,epmc,33795682,PMC8016863,10.1038/s41467-021-22328-4,33795682
119,epmc,30384176,PMC6279243,10.1016/j.compbiomed.2018.10.021,30384176
120,epmc,33173536,PMC7591752,10.3389/fgene.2020.562971,33173536
121,epmc,29311898,PMC5732932,10.3389/fnagi.2017.00408,29311898
122,epmc,29197409,PMC5712086,10.1186/s13326-017-0162-9,29197409
123,epmc,32372565,PMC7333852,10.1002/cam4.3098,32372565
124,epmc,31760934,PMC6876080,10.1186/s12859-019-3124-7,31760934
125,epmc,31074377,PMC6509876,10.1186/s12859-019-2729-1,31074377
126,epmc,30018674,PMC6029483,10.1155/2018/2959801,30018674
127,epmc,30012108,PMC6048706,10.1186/s12859-018-2247-6,30012108
128,epmc,30190574,PMC6127254,10.1038/s41598-018-31439-w,30190574
129,epmc,34755882,PMC8728220,10.1093/nar/gkab1063,34755882
130,epmc,35008194,PMC8750504,10.3390/cancers14010034,35008194
131,epmc,29590633,PMC5897730,10.1242/dmm.032839,29590633
132,epmc,34698165,PMC8544451,10.3390/diseases9040074,34698165
133,epmc,30844764,PMC6428103,10.18632/aging.101847,30844764
134,epmc,34603477,PMC8483914,10.1155/2021/9163279,34603477
135,epmc,28838067,PMC5886338,10.1093/ilar/ilw040,28838067
136,epmc,35806206,PMC9266645,10.3390/ijms23137201,35806206
137,epmc,32833025,PMC7779040,10.1093/nar/gkaa707,32833025
138,epmc,NA,NA,10.1101/2021.11.05.466755,PPR416262
139,epmc,35487924,PMC9054771,10.1038/s41540-022-00226-9,35487924
140,epmc,35877764,PMC9312389,10.1371/journal.pone.0271737,35877764
141,epmc,32308977,PMC7141167,10.12688/f1000research.18236.1,32308977
142,epmc,32705210,PMC7411362,10.3892/mmr.2020.11310,32705210
143,epmc,33181824,PMC7661096,10.1093/database/baaa085,33181824
144,epmc,29295235,PMC5881393,NA,29295235
145,epmc,35134929,PMC8982018,10.1093/genetics/iyac003,35134929
146,epmc,30200874,PMC6131949,10.1186/s12859-018-2339-3,30200874
147,epmc,32657408,PMC7355285,10.1093/bioinformatics/btaa439,32657408
148,epmc,35169842,PMC8847733,10.1093/gigascience/giac003,35169842
149,epmc,34819133,PMC8611952,10.1186/s13321-021-00569-1,34819133
150,epmc,34276264,PMC8276028,10.1007/s10723-021-09570-2,34276264
151,epmc,33719446,PMC8518219,10.1021/acs.jproteome.1c00177,33719446
152,epmc,27578323,PMC5006367,10.1186/s12859-016-1205-4,27578323
153,epmc,29860481,PMC6007211,10.1093/database/bay045,29860481
154,epmc,30053270,PMC5753215,10.1093/nar/gkx907,30053270
155,epmc,33344506,PMC7747351,10.3389/fmolb.2020.603121,33344506
156,epmc,30441083,NA,10.1109/embc.2018.8513041,30441083
157,epmc,28176830,PMC5296879,10.1038/srep42169,28176830
158,epmc,31853227,PMC6909967,10.7150/ijbs.33806,31853227
159,epmc,29322930,PMC5763302,10.1186/s12859-017-1981-5,29322930
160,epmc,35366592,PMC9252326,10.1016/j.cancergen.2022.03.001,35366592
161,epmc,31888755,PMC6937947,10.1186/s13326-019-0217-1,31888755
162,epmc,30093884,PMC6070605,10.3389/fendo.2018.00425,30093884
163,epmc,32041952,PMC7010776,10.1038/s41467-020-14600-w,32041952
164,epmc,31776723,PMC6892358,10.1007/s00335-019-09821-4,31776723
165,epmc,34664389,PMC8524328,10.15252/msb.202110387,34664389
166,epmc,31913281,PMC6949242,10.1038/s41467-019-13888-7,31913281
167,epmc,32533075,PMC7293349,10.1038/s41597-020-0523-6,32533075
168,epmc,30778255,PMC6380228,10.1038/sdata.2019.21,30778255
169,epmc,31323264,PMC6708494,10.1016/j.taap.2019.114674,31323264
170,epmc,29610744,PMC5879535,10.21037/atm.2017.03.100,29610744
171,epmc,31376410,PMC7939460,10.1016/j.gene.2019.144005,31376410
172,epmc,34252957,PMC8275341,10.1093/bioinformatics/btab310,34252957
173,epmc,25841438,PMC4385274,10.1093/database/bav032,25841438
174,epmc,34448927,PMC8913476,10.1007/s00335-021-09904-1,34448927
175,epmc,29214177,PMC5682045,10.1155/2017/8327980,29214177
176,epmc,30662640,PMC6325506,NA,30662640
177,epmc,31114610,PMC6503737,10.3389/fgene.2019.00396,31114610
178,epmc,32878204,PMC7506702,10.3390/s20174923,32878204
179,epmc,32823318,PMC7442512,10.1055/s-0040-1702001,32823318
180,epmc,31196129,PMC6567606,10.1186/s12859-019-2924-0,31196129
181,epmc,31411142,PMC6711036,10.2196/12610,31411142
182,epmc,32807955,PMC7968862,10.1038/s41592-020-0916-7,32807955
183,epmc,26810135,PMC5380835,10.1038/tpj.2015.97,26810135
184,epmc,30364956,PMC6323994,10.1093/nar/gky1010,30364956
185,epmc,36175836,PMC9520835,10.1186/s12859-022-04932-3,36175836
186,epmc,26093607,PMC4602048,10.1007/s00335-015-9576-9,26093607
187,epmc,26051359,PMC4458913,10.1038/srep10888,26051359
188,epmc,29496060,PMC5836801,10.1016/j.oraloncology.2018.01.013,29496060
189,epmc,27812137,PMC5094732,10.1371/journal.pone.0165545,27812137
190,epmc,34489936,PMC8417698,10.3389/fimmu.2021.687291,34489936
191,epmc,26154679,PMC4495600,10.1038/srep10900,26154679
192,epmc,26306239,PMC4525265,NA,26306239
193,epmc,26804977,PMC4726433,10.1038/srep19820,26804977
194,epmc,25232094,PMC4191387,10.1093/nar/gku772,25232094
195,epmc,30131587,PMC6438764,10.1038/s41380-018-0223-1,30131587
196,epmc,35327643,PMC8946103,10.3390/biom12030451,35327643
197,epmc,27610375,PMC5005524,10.1155/2016/4369431,27610375
198,epmc,35913949,PMC9342740,10.1371/journal.pone.0271989,35913949
199,epmc,29554977,PMC5859804,10.1186/s13326-018-0178-9,29554977
200,epmc,33221926,PMC7778935,10.1093/nar/gkaa1031,33221926
201,epmc,29282079,PMC5745885,10.1186/s12885-017-3854-8,29282079
202,epmc,33028830,PMC7541486,10.1038/s41467-020-18752-7,33028830
203,epmc,27235586,PMC4947423,10.1016/j.jtbi.2016.05.026,27235586
204,epmc,30649296,PMC6333964,10.1093/database/bay145,30649296
205,epmc,34454610,PMC8400831,10.1186/s13326-021-00250-4,34454610
206,epmc,29749535,PMC6059757,10.3892/or.2018.6429,29749535
207,epmc,29849945,PMC5966254,10.18632/oncotarget.25272,29849945
208,epmc,35380658,PMC8982023,10.1093/genetics/iyac022,35380658
209,epmc,24232732,PMC3828568,10.1038/srep03202,24232732
210,epmc,27099700,PMC4837519,10.1186/s13326-016-0062-4,27099700
211,epmc,32278258,PMC7393770,10.1016/j.aquatox.2020.105478,32278258
212,epmc,31510663,PMC6612872,10.1093/bioinformatics/btz313,31510663
213,epmc,33151297,PMC7779054,10.1093/nar/gkaa990,33151297
214,epmc,30252093,PMC6323926,10.1093/nar/gky869,30252093
215,epmc,33008901,PMC7852388,10.1126/sciadv.aaz7628,33008901
216,epmc,24932637,PMC4059643,10.1371/journal.pone.0099415,24932637
217,epmc,29671398,PMC5907145,10.1186/s12859-018-2098-1,29671398
218,epmc,29258588,PMC5735523,10.1186/s13326-017-0167-4,29258588
219,epmc,30815206,PMC6371316,NA,30815206
220,epmc,NA,PMC6217683,NA,PMC6217683
221,epmc,28947982,PMC5601150,10.18632/oncotarget.19588,28947982
222,epmc,NA,PMC6217675,NA,PMC6217675
223,epmc,30166985,PMC6105692,10.3389/fimmu.2018.01877,30166985
224,epmc,29262548,PMC5732714,10.18632/oncotarget.21532,29262548
225,epmc,24146757,PMC3795748,10.1371/journal.pone.0075504,24146757
226,epmc,35143484,PMC8830725,10.1371/journal.pcbi.1009726,35143484
227,epmc,31308550,PMC7995176,10.1038/s41592-019-0461-4,31308550
228,epmc,27577487,NA,NA,27577487
229,epmc,31675914,PMC6824123,10.1186/s12859-019-3147-0,31675914
230,epmc,27152146,PMC4857245,10.1186/s13326-016-0066-0,27152146
231,epmc,29122012,PMC5679337,10.1186/s13326-017-0161-x,29122012
232,epmc,35703610,PMC9190514,10.1590/s1678-9946202264041,35703610
233,epmc,29888054,PMC5961829,NA,29888054
234,epmc,26507285,PMC4622021,10.1093/database/bav104,26507285
235,epmc,28713243,PMC5492163,10.3389/fnmol.2017.00212,28713243
236,epmc,33006565,PMC7568218,10.2196/18395,33006565
237,epmc,NA,PMC6012034,NA,PMC6012034
238,epmc,NA,PMC6217690,NA,PMC6217690
239,epmc,33625251,PMC8284374,10.1161/circgen.120.003196,33625251
240,epmc,NA,PMC6012795,NA,PMC6012795
241,epmc,NA,PMC6012077,NA,PMC6012077
242,epmc,NA,PMC6217677,NA,PMC6217677
243,epmc,NA,PMC6012141,NA,PMC6012141
244,epmc,25045465,PMC4081507,10.1186/2043-9113-4-8,25045465
245,epmc,NA,PMC6012947,NA,PMC6012947
246,epmc,34139439,PMC8404035,10.1016/j.compbiomed.2021.104542,34139439
247,epmc,32093606,PMC7041288,10.1186/s12859-020-3392-2,32093606
248,epmc,28340554,PMC5366146,10.1186/s12859-017-1605-0,28340554
249,epmc,NA,PMC6012019,NA,PMC6012019
250,epmc,28541637,PMC5447148,10.3802/jgo.2017.28.e49,28541637
251,epmc,25348409,PMC4383880,10.1093/nar/gku1011,25348409
252,epmc,NA,PMC6012542,NA,PMC6012542
253,epmc,NA,PMC6012018,NA,PMC6012018
254,epmc,NA,PMC6012864,NA,PMC6012864
255,epmc,NA,PMC6011923,NA,PMC6011923
256,epmc,NA,PMC6012780,NA,PMC6012780
257,epmc,NA,PMC6012075,NA,PMC6012075
258,epmc,NA,PMC6012942,NA,PMC6012942
259,epmc,NA,PMC6012926,NA,PMC6012926
260,epmc,30759076,PMC6373925,10.1371/journal.pcbi.1006762,30759076
261,epmc,31181762,PMC6628051,10.3390/nu11061300,31181762
262,epmc,30519990,PMC6755715,10.1186/s13321-018-0312-9,30519990
263,epmc,27635398,PMC5011202,10.1155/2016/4130861,27635398
264,epmc,28694792,PMC5483436,10.3389/fmicb.2017.01068,28694792
265,epmc,28848387,PMC5554380,10.3389/fnmol.2017.00250,28848387
266,epmc,NA,PMC6011997,NA,PMC6011997
267,epmc,NA,PMC6012941,NA,PMC6012941
268,epmc,34788626,PMC8631509,10.1016/j.celrep.2021.110005,34788626
269,epmc,35882847,PMC9325891,10.1038/s41467-022-31707-4,35882847
270,epmc,31372216,PMC6662680,10.12688/f1000research.19571.2,31372216
271,epmc,29220436,PMC5502356,10.1093/database/bax044,29220436
272,epmc,22165817,PMC3236847,10.1186/1471-2105-12-s10-s4,22165817
273,epmc,31673292,PMC6815005,10.1186/s13040-019-0206-z,31673292
274,epmc,NA,NA,10.1101/2021.07.04.451040,PPR365771
275,epmc,34306572,PMC8280514,10.1016/j.csbj.2021.06.046,34306572
276,epmc,31984320,PMC6951984,10.1093/jamiaopen/ooy008,31984320
277,epmc,29020091,PMC5636111,10.1371/journal.pone.0185797,29020091
278,epmc,29106618,PMC5753383,10.1093/nar/gkx1062,29106618
279,epmc,30675185,PMC6334395,10.1186/s13040-018-0190-8,30675185
280,epmc,30815087,PMC6371329,NA,30815087
281,epmc,NA,PMC5692975,NA,PMC5692975
282,epmc,30111857,PMC6093887,10.1038/s41598-018-29789-6,30111857
283,epmc,22080554,PMC3245088,10.1093/nar/gkr972,22080554
284,epmc,33247935,PMC7698665,10.1093/database/baaa074,33247935
285,epmc,28925997,PMC5604135,10.1038/sdata.2017.125,28925997
286,epmc,30846554,PMC6442595,10.1073/pnas.1802973116,30846554
287,epmc,27242038,PMC4885602,10.1093/database/baw082,27242038
288,epmc,NA,PMC5692004,NA,PMC5692004
289,epmc,NA,PMC5692699,NA,PMC5692699
290,epmc,33489061,PMC7787845,10.1155/2020/8865808,33489061
291,epmc,23424146,PMC3587774,NA,23424146
292,epmc,23886403,PMC3751136,10.1186/1746-1596-8-122,23886403
293,epmc,25789153,PMC4364458,10.1186/s13326-015-0004-6,25789153
294,epmc,21714896,PMC3150296,10.1186/1471-2105-12-266,21714896
295,epmc,28629436,PMC5477351,10.1186/s13326-017-0132-2,28629436
296,epmc,27175225,PMC4863347,10.1186/s13326-016-0064-2,27175225
297,epmc,32142370,PMC7101249,10.1200/cci.19.00117,32142370
298,epmc,NA,PMC6012652,NA,PMC6012652
299,epmc,34057427,PMC8204232,10.2196/18500,34057427
300,epmc,27930807,PMC5152691,10.1002/cpbi.19,27930807
301,epmc,29402212,PMC5800055,10.1186/s12859-018-2039-z,29402212
302,epmc,28256708,PMC6296778,10.1002/cne.24196,28256708
303,epmc,32634135,PMC7340312,10.1371/journal.pone.0234986,32634135
304,epmc,29335022,PMC5769431,10.1186/s13326-017-0170-9,29335022
305,epmc,23046572,PMC3448532,10.1186/2041-1480-3-s2-s3,23046572
306,epmc,26251654,PMC4527102,10.1186/s12014-015-9091-8,26251654
307,epmc,23197658,PMC3531051,10.1093/nar/gks1244,23197658
308,epmc,NA,PMC6012199,NA,PMC6012199
309,epmc,NA,PMC6012482,NA,PMC6012482
310,epmc,NA,PMC6012123,NA,PMC6012123
311,epmc,NA,PMC6011899,NA,PMC6011899
312,epmc,32788551,PMC7443379,10.2183/pjab.96.021,32788551
313,epmc,26772741,PMC4715272,10.1186/s40246-016-0061-7,26772741
314,epmc,NA,PMC5782707,NA,PMC5782707
315,epmc,26119816,PMC4572507,10.1016/j.ajhg.2015.05.020,26119816
316,epmc,28365732,PMC5467561,10.1093/database/bax014,28365732
317,epmc,NA,PMC5782706,NA,PMC5782706
318,epmc,29208006,PMC5717815,10.1186/s13046-017-0651-9,29208006
319,epmc,28063254,PMC5321808,10.1002/psp4.12155,28063254
320,epmc,27899636,PMC5210586,10.1093/nar/gkw1128,27899636
321,epmc,32698423,PMC7564417,10.3390/vaccines8030397,32698423
322,epmc,22689774,PMC3371847,10.1093/bioinformatics/bts215,22689774
323,epmc,26140188,PMC4488034,10.1186/s13326-015-0028-y,26140188
324,epmc,27296450,PMC4907256,10.1186/s13326-016-0085-x,27296450
325,epmc,21347137,PMC3041538,NA,21347137
326,epmc,NA,NA,NA,PPR272278
327,epmc,27034769,PMC4815270,10.1186/s13326-016-0058-0,27034769
328,epmc,32308806,PMC7142358,10.1155/2020/5904315,32308806
329,epmc,25254202,PMC4165507,10.1155/2014/134023,25254202
330,epmc,NA,PMC4144621,NA,PMC4144621
331,epmc,22779044,PMC3392061,NA,22779044
332,epmc,29588604,PMC5860139,10.2147/ott.s158975,29588604
333,epmc,19594883,PMC2709267,10.1186/1471-2164-10-s1-s6,19594883
334,epmc,30693066,PMC6332925,10.1155/2018/8601028,30693066
335,epmc,29983520,PMC6016343,10.4314/ejhs.v28i2.14,29983520
336,epmc,NA,PMC6012097,NA,PMC6012097
337,epmc,26320941,PMC4553261,10.3402/jev.v4.27497,26320941
338,epmc,27003817,PMC4933310,10.1007/s40264-016-0414-0,27003817
339,epmc,NA,PMC5782708,NA,PMC5782708
340,epmc,30111369,PMC6094585,10.1186/s13326-018-0187-8,30111369
341,epmc,NA,PMC5692519,NA,PMC5692519
342,epmc,NA,PMC5692639,NA,PMC5692639
343,epmc,32283553,PMC7153956,10.1093/database/baaa015,32283553
344,epmc,22711793,PMC3493115,10.1093/bioinformatics/bts350,22711793
345,epmc,30833663,PMC6399448,10.1038/s41598-019-40102-x,30833663
346,epmc,25904633,PMC4489246,10.1093/nar/gkv382,25904633
347,epmc,25106869,PMC4383999,10.1093/nar/gku724,25106869
348,epmc,28601712,PMC5572073,10.1016/j.compbiomed.2017.05.026,28601712
349,epmc,26092691,PMC4602072,10.1007/s00335-015-9577-8,26092691
350,epmc,24453957,PMC3894162,10.1371/journal.pcbi.1003432,24453957
351,epmc,28819351,PMC5555235,10.3233/sw-160238,28819351
352,epmc,31060502,PMC6503437,10.1186/s12859-019-2829-y,31060502
353,epmc,25852852,PMC4387853,10.1186/2041-1480-5-37,25852852
354,epmc,23533462,PMC3594946,10.1155/2013/136732,23533462
355,epmc,NA,NA,10.1101/2020.09.28.20203257,PPR220284
356,epmc,NA,PMC5782705,NA,PMC5782705
357,epmc,32053117,PMC7055759,10.2196/14737,32053117
358,epmc,31684899,PMC6829976,10.1186/s12885-019-6278-9,31684899
359,epmc,27703231,PMC5050487,10.1038/srep34820,27703231
360,epmc,30417144,PMC6218668,10.1016/j.heliyon.2018.e00867,30417144
361,epmc,19208184,PMC2646250,10.1186/1471-2105-10-s2-s1,19208184
362,epmc,33536966,PMC7848848,10.3389/fpsyg.2020.586699,33536966
363,epmc,28241135,PMC6857182,10.1038/nature21374,28241135
364,epmc,31796060,PMC6891984,10.1186/s13073-019-0686-y,31796060
365,epmc,29854250,PMC5977606,NA,29854250
366,epmc,30351302,PMC6206617,10.1038/sdata.2018.230,30351302
367,epmc,20569493,PMC2911465,10.1186/1756-0500-3-175,20569493
368,epmc,NA,PMC5782709,NA,PMC5782709
369,epmc,27535358,PMC4989895,10.1186/s12920-016-0189-2,27535358
370,epmc,NA,PMC5801734,NA,PMC5801734
371,epmc,25868462,PMC4986666,10.1093/jamia/ocu004,25868462
372,epmc,27733503,PMC5210626,10.1093/nar/gkw918,27733503
373,epmc,21918645,PMC3170774,10.1016/j.websem.2011.06.005,21918645
374,epmc,20074352,PMC2831003,10.1186/1471-2105-11-29,20074352
375,epmc,23589184,PMC3705004,10.1007/s10278-013-9599-2,23589184
376,epmc,19478018,PMC2687947,10.1093/bioinformatics/btp193,19478018
377,epmc,29636656,PMC5889951,NA,29636656
378,epmc,31223421,PMC6542245,10.1155/2019/1769437,31223421
379,epmc,32572291,PMC7301140,10.1016/j.future.2020.06.019,32572291
380,epmc,31678735,PMC6838934,10.1016/j.omtn.2019.09.019,31678735
381,epmc,25819073,PMC4377087,10.1093/database/bav019,25819073
382,epmc,33382973,PMC7831653,10.1016/j.immuni.2020.12.011,33382973
383,epmc,23155465,PMC3498356,10.1371/journal.pone.0049198,23155465
384,epmc,26507230,PMC4626853,10.1128/mbio.01263-15,26507230
385,epmc,19384081,PMC5049510,10.1097/pai.0b013e31818eca8b,19384081
386,epmc,32508008,PMC7240856,10.1002/ctm2.28,32508008
387,epmc,31779674,PMC6883603,10.1186/s13073-019-0687-x,31779674
388,epmc,26788126,PMC4717572,10.1186/s13040-016-0082-8,26788126
389,epmc,21624155,PMC3102889,10.1186/2041-1480-2-s2-s1,21624155
390,epmc,21051346,PMC3013658,10.1093/nar/gkq1038,21051346
391,epmc,25222080,PMC4281950,10.1186/s13059-014-0438-7,25222080
392,epmc,29849050,PMC5976644,10.1038/s41598-018-26525-y,29849050
393,epmc,21738333,PMC3124697,10.6026/97320630006288,21738333
394,epmc,21347171,PMC3041576,NA,21347171
395,epmc,22494789,PMC3392849,10.1136/amiajnl-2011-000631,22494789
396,epmc,20626921,PMC2903720,10.1186/2041-1480-1-s1-s1,20626921
397,epmc,28657226,PMC5540724,10.3802/jgo.2017.28.e65,28657226
398,epmc,23161684,PMC3531119,10.1093/nar/gks1080,23161684
399,epmc,25093068,PMC4120740,10.1186/2041-1480-5-29,25093068
400,epmc,29704307,PMC6033003,10.1002/humu.23542,29704307
401,epmc,29579141,PMC6781604,10.1093/bib/bby015,29579141
402,epmc,25861967,PMC4528628,10.1093/bioinformatics/btv196,25861967
403,epmc,21550421,PMC3392036,10.1016/j.jbi.2011.04.007,21550421
404,epmc,26463000,PMC4945830,10.1093/bib/bbv080,26463000
405,epmc,25093074,PMC4108877,10.1186/2041-1480-5-s1-s5,25093074
406,epmc,26834985,PMC4706053,10.12688/f1000research.6836.2,26834985
407,epmc,29261751,PMC5738129,10.1371/journal.pone.0189663,29261751
408,epmc,NA,PMC1871670,10.1215/15228517-2006-033,PMC1871670
409,epmc,27436592,PMC5513010,10.1111/hex.12482,27436592
